단어,뜻
클리커,키보드에 사용되는 스위치를 활용해 누를 때마다 딸깍 소리와 함께 손맛을 느낄 수 있는 촉감 굿즈. 3D 프린터를 활용해 다양한 모양의 클리커를 제작하는 경우가 많음.
피젯 보드,"종이 상자 등을 활용해 만든 판 위에 빗, 화장품 샘플, 작은 장난감 등 잡다한 물건들을 붙여 만든 보드를 뜻함. 피젯 보드에 붙여둔 물건을 하나씩 두드려 소리를 내보고, 점수를 매기는 콘텐츠가 유행했음."
리커버리노믹스,"‘Recovery(회복)’와 ‘Economics(경제)’의 합성어로, 수면·사우나·각종 테라피 등 ‘회복’과 관련된 소비 트렌드를 뜻함. 캐릿이 만든 신조어."
경도,‘경찰과 도둑’의 줄임말. 경찰과 도둑으로 역할을 나누어 진행하는 일종의 술래잡기임.
알파세대,"2009년 이후 출생자, 즉 Z세대 다음 세대를 부르는 말."
얼리 안티에이징,10·20대부터 일찍 노화를 관리하는 트렌드를 뜻하는 말.
올다아무,올리브영·다이소·아트박스·무신사를 한데 묶어 부르는 말.
향성비 공간,적은 비용으로 공간의 인상을 바꾸는 향 중심 공간을 뜻함. 향이 공간을 완성하는 인테리어 요소로 인식되는 경향과 함께 생긴 트렌드. 캐릿이 최초로 정의한 개념.
밍글 모닝,"‘Mingle(어울리다)’과 모닝의 합성어. 자기계발에 아침 시간을 투자하는 ‘미라클 모닝’과 달리, 친목과 교류 또는 가벼운 취미 활동을 하며 아침을 보내는 트렌드. 캐릿이 최초로 정의한 개념."
각할모,"‘각자 할 거 하는 모임’의 줄임말. 서로 다른 일을, 함께 모여서 하는 Z세대 문화를 뜻함."
분철,"주로 K팝 팬덤에서 사용되는 용어로, 랜덤 굿즈를 구매할 때 멤버 수만큼 인원을 모아 공동으로 구매한 뒤, 각자 원하는 멤버의 굿즈만 나눠 갖는 방식을 뜻함."
MZ샷,"0.5배 줌(광각)을 설정해 일부러 비율이 왜곡되도록 하고, 위에서 아래를 내려다보듯 촬영하는 사진 구도. 이를 바탕으로 다양한 인증샷 트렌드가 생기고 있음."
젠지스테어,Z세대들이 인사하거나 대화하는 상황에서 대답하지 않고 상대를 빤히 바라보는 행동을 하는 것.
혼놀,혼밥을 비롯해 ‘혼자 노는 것’을 총칭하는 말
순공,‘순수하게 공부에 집중한 시간’의 줄임말. 타이머를 켜고 순공 시간을 기록하며 공부하는 중·고등학생이 많음.
홈 프로텍터,"‘백수’를 고급스럽게 부르는 신조어로, 일종의 밈처럼 쓰임."
밍글링,"‘밍글링(Mingling)’은 ‘어울리다’, ‘섞이다’라는 의미를 가진 단어로, 또래끼리 함께 여행을 가거나 네트워킹을 즐기는 과정을 밍글링이라고 부름."
오하아사,"일본의 한 인기 방송에 나오는 점성술 코너 ‘오하아사호시우라나이’에서 유래한 명칭. 방송 내용을 바탕으로 매일 아침마다 오늘의 운세와 행운의 아이템을 알려주는 국내 계정이 생기면서, 엑스 사용자를 중심으로 유행하기 시작했음."
옾만추,오프라인에서 낯선 사람과 교류하는 모임을 선호하는 Z세대의 성향을 부르는 용어.
혼팬,"혼자 덕질을 즐기는 팬을 뜻함. 최근 공연, 스포츠 경기 등을 혼자 관람하는 경우가 늘어남."
잼컨,‘재미있는 콘텐츠’의 줄임말.
북부대공,"북쪽 영지를 다스리는 대공 지위를 뜻함. 서양풍 로맨스 판타지 웹소설에서 자주 등장하는 남자 주인공 유형. 압도적인 힘과 능력을 갖췄으며, 겉으로는 차갑지만 사랑 앞에서는 따뜻해지는 클리셰적인 캐릭터."
굳이데이,가수 ‘우즈(조승연)’가 만들어서 유행시킨 문화. ‘귀찮더라도 낭만적인 일을 찾아서 하는 날’을 의미함. 조개구이를 먹고 싶을 때 ‘굳이’ 인천까지 가서 먹고 오는 식. ‘낭만을 찾으려면 귀찮음을 감수해야 한다’는 메시지에 공감하는 Z세대가 많음.
클래식힙,"고전 음악, 미술 전시와 같은 ‘클래식’ 문화를 힙하고 낭만적이라고 여기는 새로운 경향."
텍스트힙,"독서, 기록 등 텍스트 콘텐츠를 힙하다고 여기는 새로운 경향."
근황 발표회,친구들 앞에서 지난 일상과 앞으로의 목표 등을 PPT 자료로 만들어 발표하는 이벤트. ‘오타쿠 발표회’가 유행한 이후 다양한 발표회 이벤트가 파생되기 시작했음.
걸스나잇,"여자 친구들끼리 밤새 맛있는 음식을 먹으며 노는 파티를 ‘걸스나잇’이라 부름. 최근엔 베스트 드레서를 뽑거나 유행 중인 게임을 하는 등, 같이 즐길 콘텐츠가 뚜렷한 걸스나잇이 트렌드로 떠오름."
가챠,기계에서 나는 덜그럭거리는 마찰음을 나타내는 일본 의성어 '가챠가챠'에서 유래함. ‘랜덤 뽑기’를 뜻함.
랜놀,"랜덤 여행, 랜덤 잠옷 선물 등 ‘랜덤’이라는 키워드를 활용해 노는 Z세대가 많아짐. 캐릿은 이러한 놀이 문화를 ‘랜놀(랜덤 놀이)’이라고 정의함."
실용세대,"가성비를 중요하게 따지며, 보여지는 것보다 실속, 내실을 중요하게 생각하는 세대"
빌려 온 고양이같이,"여러 사람이 모여 떠드는 데서 사람들과 어울리지 아니한 채 혼자 덤덤히 있는 경우를 이르는 속담. 귀여운 속담이라며 밈으로 활용하는 Z세대가 많은 편.
ex. 이번 겨울은 친구 없이 계절학기 들어야 해. 빌려온 고양이 됨..."
궁전으로 갈 수도 있어,"가수 ‘이문세’의 곡 ‘깊은 밤을 날아서’에서 유래한 밈. ‘고운 그대 손을 잡고 밤하늘을 날아서 궁전으로 갈 수도 있어’라는 구절이 나오는데, 이 가사를 변형해 밈으로 활용하는 Z세대가 많아진 것. 주로 ‘기분이 정말 좋다’는 의미를 담아 유쾌하게 말하고 싶을 때 씀.
ex. 오늘 퇴근하고 삼겹살 먹으면 궁전으로 갈 수도 있어"
클린걸,자연스럽고 건강한 아름다음을 추구하는 트렌드
팬튜브,"팬이 운영하는 유튜브 계정. 특정 아이돌이나 배우가 출연한 콘텐츠를 2차 가공하거나, 직접 촬영한 영상을 업로드함."
겟 레디 윗 미,"‘Get Ready With Me’를 한국어로 발음한 표기. 외출 전 옷을 고르고, 메이크업하는 과정을 담은 유튜브 콘텐츠."
가슴에 국밥 쏟음,"‘훈훈하다’, ‘마음이 따뜻해진다’라는 뜻의 밈."
옹씌옹씌,"모바일 게임 ‘피크민 블룸’ 캐릭터의 효과음에서 유래함. 피크민 캐릭터가 아이템을 운반할 때 ‘옹씌옹씌’라는 소리가 나는데, 이 소리가 귀엽다는 반응이 많아 밈화됨. 주로 아무 의미 없는 의성어처럼 쓰임.
ex. 오늘 저녁 마라탕 먹음. 옹씌옹씌."
Queen never cry,"웹툰 ‘기자매’에서 유래함. 기자매 34화에는 퀸 패밀리에서 태어난 신생아 ‘로라’가 울자, 엄마인 ‘세리나’가 ‘Queen never cry’라고 말하는 것에서 유래함."
허거덩거덩스,"2025년 2월 ‘잇츠꿀띵’이라는 인스타그램 계정에서 한 남성이 팔짱을 낀 이미지에 ‘리얼 허거덩거덩스한 상황’이라는 문구를 넣어 게시한 게 유명해짐. 이후 해당 짤이 각종 SNS와 커뮤니티로 퍼지면서 ‘허거덩거덩스’라는 감탄사가 밈으로 자리 잡음. 주로 놀라거나 당황스러운 상황에서 감탄사로 활용함.
ex. 4월은 공휴일이 없대. 리얼 허거덩거덩스한 상황;"
익속,"익명 속마음의 줄임말. SNS 게시글에 ‘좋아요’를 누른 사람에 대한 속마음을 남기는 새로운 SNS 소통 방식. 내가 ‘익속’이라는 제목으로 올린 게시물에 누군가가 ‘좋아요’를 누르면, 좋아요 누른 사람에 대해 느꼈던 생각을 SNS에 올려주는 것. 누구인지는 밝히지 않는 게 특징."
사과가 되지 말고 도마도가 되라,"겉모습만 붉고, 속은 흰 사과가 아닌 겉과 속이 토마토처럼 같은 사람이 되라는 의미. 밈으로 활용하는 Z세대가 많음.
ex. 2025년? 사과X 도마도O(올해는 건실하게 살겠다는 의미)"
줄수록 양양,"주면 줄수록 부족하게 여기고 더 요구하게 된다는 말. 귀여운 속담이라며 밈으로 활용하는 Z세대가 많은 편.
ex. 줄수록 양양 상태가 되어버림(휴가 더 주세요)"
평생 소원이 누룽지,기껏 요구하는 것이 너무나 하찮은 것임을 비유적으로 이르는 속담. 귀여운 속담이라며 밈으로 활용하는 Z세대가 많은 편.
칠 가이,"‘필립 뱅커스’라는 아티스트가 만든 캐릭터로 인해 생긴 밈. ‘칠 가이’는 아무 것도 신경 쓰지 않는 쿨한 성격인데, 2024년 ‘bliterzz’라는 틱톡커가 이 캐릭터를 활용해 웃긴 짤을 제작하여 대중적으로 유명해 짐. 이후 본인의 상황에 빗대 짤을 만드는 게 본격적으로 유행하기 시작함."
섹시푸드,1020이 맛있는 음식을 먹었을 때 감탄하는 말. 2024년 8월 유튜브 ‘빵먹다살찐떡’ 채널의 쇼츠에서 소개되면서 주목받음.
Gwansik(관식),"다정한 남편, 남자친구를 비유적으로 표현하는 말로 쓰임. 자신의 남자친구나 남편을 ‘나만의 관식(Own Gwansik)’으로 부르면서 자랑하는 영상을 올리는 해외 Z세대가 많음."
Maknae(막내),"해외 K팝 팬들 사이에서 ‘귀여운 사람’이라는 의미로 쓰임.
ex. - Born to be Manknae(이 사람은 원래 귀엽게 태어난 듯)"
Jinjja(진짜),"해외의 K팝, K드라마 팬들이 최애의 무대나 작품을 칭찬할 때 감탄사로 사용함.
ex. this is jinjja perfect(진짜 완벽하네)"
시즌그리팅,"연말 연시 판매되는 굿즈 세트. 달력, 다이어리 등으로 구성됨."
감다죽,‘감 다 죽음’이라는 의미의 Z세대 유행어. 트렌디하지 않다는 의미. 반댓말은 ‘감다살’
나니가스키,일본 애니메이션 ‘러브라이브!’ 콘서트 곡 가사에서 유래된 밈. ‘나니가스키(무엇을 좋아해?)’라는 질문에 ‘OO 요리모 아나타(OO보다도 너)’라고 자답하는 식으로 사용됨.
HMH,"‘하면 해’라는 뜻으로, 각 글자의 초성을 영문으로 바꾼 것이 특징임. 상대방이 무언가를 제안했을 때, ‘네가 하면 나도 하겠다’ 또는 ‘하면 하지, 못할 게 뭐가 있냐’라는 의미"
GMG,"‘가면 가’라는 뜻으로, 각 글자의 초성을 영문으로 바꾼 것이 특징임. 친구가 특정 장소에 가자고 제안할 때, 짧고 간편하게 ‘GMG’라고 답장하는 식으로 쓰임."
나같경,"‘나 같은 경우에는’의 줄임말로, Z세대가 특정 상황에서 ‘나라면 이렇게 행동할 것 같다’라는 의사를 표현할 때 사용함. (ex. 나같경 개강만 하면 내향인으로 바뀜.)"
왼얼사,"‘왼쪽 얼굴 사수’의 줄임말. 사진을 찍을 때 왼쪽 얼굴이 더 잘 나온다고 생각해, 왼쪽 얼굴이 보이도록 포즈를 취할 때 사용하는 표현. 반대말로는 ‘오얼사’가 있음."
오얼사,"‘오른쪽 얼굴 사수’의 줄임말. 사진을 찍을 때 오른쪽 얼굴이 더 잘 나온다고 생각해, 오른쪽 얼굴이 보이도록 포즈를 취할 때 사용하는 표현. 반대말로는 ‘왼얼사’가 있음."
아샤,"‘아침에 샤워한다’라는 의미. 하루 중 언제 샤워하는지 이야기할 때 쓰이며, 반대말로는 ‘밤샤(밤 샤워)’가 있음."
밤샤,"‘밤에 샤워한다’라는 의미. 하루 중 언제 샤워하는지 이야기할 때 쓰이며, 반대말로는 ‘아샤(아침 샤워)’가 있음."
포도알,"콘서트 티켓을 예매할 때, 다른 사람이 아직 선택하지 않아 비어 있는 좌석을 의미함."
모리걸,‘숲속에 살 것 같은 소녀’ 감성을 부르는 말.
분좋카,‘분위기 좋은 카페’를 줄여 부르는 말.
야빠마블,야구를 테마로 만든 부루마블 게임. 칸마다 야구와 관련된 미션(ex. 투수 3명 이름 말하기 등)이 적혀 있는 것이 특징임.
퀵턴 여행,"‘퀵턴(Quick-Turn) 여행’은 말 그대로 목적지를 찍고 바로 돌아오는 여행으로, 짧은 당일치기를 뜻함."
바람은 왱왱왱 마음은 잉잉잉,넷플릭스 드라마 ‘폭싹 속았수다’에서 유래한 밈. 극 중 백일장에서 남자 주인공인 ‘양관식(박보검)’이 ‘춘풍’을 주제로 지은 시의 구절. ‘바람은 왱왱왱’ 뒤에 자신이 원하는 구절을 붙이는 식으로 사용됨.
669 치킨,‘BBQ 치킨’을 ‘669 치킨’으로 잘못 읽은 것. 약속 장소를 669 치킨으로 잘못 얘기한 사람의 썰이 온라인에서 화제가 되며 유명해짐.
초코파이 아홉,‘초코파이 정’의 한자 ‘情(정)’을 숫자 ‘아홉’으로 읽은 것.
느슨한 연대,"취향, 취미, 가치관 등 필요에 따라 유연하게 유지되는 인간 관계를 부르는 말."
비계,‘비공계 계정’의 줄임말. 주로 트위터나 인스타그램에서 쓰임.
실친,‘실제 친구’의 줄임말. 학교나 직장 등 오프라인에 기반을 둔  친구를 부르는 말.
걸스나잇,"주로 Z세대 여성들이 모여 밤새 노는 모임을 부르는 말. 파자마 파티, 오타쿠 MT, 홈파티 등이 이에 해당됨."
베프,‘베스트 프렌드’의 줄임말. 단순 지인이 아니라 친한 친구를 부르는 말.(유의어: 찐친)
링크트리,하나의 페이지에 다양한 링크를 모아서 보여줄 수 있는 서비스
인용,엑스(구 트위터)에서 다른 사람의 게시물에 자신의 의견을 덧붙여서 공유하는 기능.
제철코어,"Z세대에게 특정 계절을 연상시키는 먹거리나 장소, 콘텐츠, 이벤트를 통틀어 부르는 말."
감다살,‘감 다 살아남’이라는 의미의 Z세대 유행어. 트렌디하다는 칭찬. 반댓말은 ‘감다죽’
피꾸,‘피드 꾸미기’의 줄임말. 인스타그램 피드를 예쁘게 꾸미는 것을 부르는 말.
트친,트위터 친구의 줄임말. (트위터 = 구 엑스)
오타쿠 발표회,좋아하는 대상을 소개하는 PPT 자료를 만들어 친구들 앞에서 발표하는 Z세대 놀이 문화.
ㄱㅂㅈㄱ,"‘가보자고’의 초성. 일을 시작하는 상황, 힘을 내야 하는 상황에 사용함."
700,‘귀여워’의 초성인 ‘ㄱㅇㅇ’를 유사한 모양의 숫자 ‘700’으로 표기한 것. 귀엽다는 뜻.
럭드,"랜덤으로 굿즈를 받을 수 있는 이벤트를 ‘럭키 드로우’, 줄여서 ‘럭드’라고 부름."
아궁빵,"‘아기 궁뎅이 빵’의 줄임말로, 턱에 한 손을 올려 얼굴을 받치는 포즈. 팬 사인회나 행사장에서 팬들이 아이돌에게 자주 요청하는 인기 포즈임."
스핀,"요즘 덕질할 때 필수로 통하는 익명 Q&A 서비스명. 주로 엑스(구 트위터)에서 사용됨. 마치 ‘인스타그램 무물’처럼, DM 대신 익명 Q&A 서비스를 소통 창구로 활용하는 것."
홈베이스,"학생들이 과목을 직접 선택해서 시간표를 꾸리는 ‘고교학점제’가 전면 도입되면서 10대에게도 공강 시간이 생겼는데, 이 시간을 보낼 수 있도록 마련된 공간을 말함. 대학교의 ‘과방’ 같은 곳."
가챠 파우치,랜덤으로 뽑을 수 있는 작은 장난감 ‘가챠’를 활용해 만드는 파우치. 서로 어울리는 가챠를 모아 투명 파우치에 담아냄.
럭키비키,"[밈] 아이돌 ‘장원영'의 긍정적인 사고 방식을 가리키는 ‘원영적 사고’ 밈을 대표하는 문구. 원영적 사고를 했을 때 ‘럭키비키’라는 표현을 덧붙이는 것이 규칙처럼 통함. 이때, '비키'는 장원영의 영어 이름을 뜻함."
시그,"‘시즌 그리팅’의 줄임말. 새해를 맞아 판매되는 달력, 다이어리 등의 굿즈 세트."
스꾸,인스타그램 스토리 꾸미기의 줄임말. 스마트폰 ‘컷아웃’ 기능을 활용해 스토리에 올릴 사진을 꾸미는 것을 의미함.
촌캉스,촌+바캉스의 합성어. 시골집에 놀러 간 것처럼 휴가를 즐기는 Z세대 문화를 의미함.
겸덕,"동시에 2개 이상의 분야에 관심을 갖고 덕질, 취미를 즐기는 것을 말함."
복복,[밈] 머리를 쓰다듬는 행동을 표현한 의태어. 좋아하는 대상을 칭찬할 때 사용함. 아이돌 팬덤이 최애를 향해 자주 쓰는 표현으로 인기를 끌고 있음. (2024년 11월 기준)
항도니 잠,[밈] MBC 예능 프로그램 ‘무한도전’ 촬영 중 개그맨 ‘정형돈’이 잠든 모습에서 유래한 밈. 한 엑스 유저가 해당 짤을 공유하며 ‘정형돈처럼 맛있게 자고 싶다’고 게시물을 올리며 ‘항도니 잠’이란 표현이 생김. ‘꿀잠 자고 싶다’는 의미로 사용됨. (2024년 11월 기준)
드렁슨,"[밈] 코를 골며 자는 모습을 표현한 의성어. 엑스를 중심으로 ‘~슨’으로 끝나는 어미가 유행하며, 코 고는 소리인 ‘드르렁’에 ‘슨’을 붙여 ‘드렁슨’이라고 표현함. (2024년 11월 기준)"
푸데푸데,"[밈] 꿀잠 자는 모습을 표현한 의성어. 고양이나 강아지 등 귀여운 동물이 자는 모습에서 유래한 표현. 엑스, 유튜브에서 활발하게 사용되고 있음. (2024년 11월 기준)"
끌올 세대,"기업의 선행, 잘못 등을 꾸준히 수면 위로 끌어 올리며 소비 시 참고하는 Z세대의 성향을 일컫는 말."
위시코어,"아이돌 그룹 ‘엔시티 위시’의 스타일, 감성을 부르는 말. 별모양과 날개, 반짝이 등이 대표적인 요소로 꼽힘."
레그 워머,"발목부터 종아리까지 감싸는 디자인의 토시, Y2K 패션이 유행하면서 레그 워머도 힙한 아이템으로 주목받았음."
깊생,‘깊은 생각’의 줄임말. 주로 덕질하는 대상에 대한 마음을 표현하는 주접 밈으로 쓰임.
카우룽 카우룽,‘가을은 가을이군요’를 잘못 알아들었다는 온라인 썰에서 유래한 Z세대 유행어.
사쉐,프랑스어로 향기를 담는 작은 주머니라는 뜻. 옷장이나 방문에 매달아서 사용하는 향기 제품.
포토덤프,B컷을 포함한 대량의 사진을 제시하며 특별한 감성을 전달하는 콘텐츠 구성 방식.
스공,‘스토리 공유’의 줄임말. 인스타그램 스토리로 사진이나 영상을 공유하겠다는 뜻. 해시태그로 활용해 더 많은 사람들에게 게시물이 노출되도록 하는 데에도 쓰임.
공방판,"공개 방송에 참여하기 위해서는 음원 다운로드 내역, 앨범 실물 등 팬임을 증명할 수 있는 확인 절차를 거쳐야 함. ‘공방판’은 이러한 절차를 마친 후 배부받는 물품임."
올콘,‘올(all) 콘서트’의 줄임말. 한 공연의 모든 회차를 관람하는 것.
공방,‘공개 방송’의 줄임말. 음악 프로그램에서 방영되는 무대를 방청하러 가는 것을 뜻함. 보통 공개 방송에서 역조공이 진행될 때가 많음.
느좋,‘느낌 좋은’의 줄임말. 힙하고 멋진 것을 가리키는 Z세대 신조어.
토템,과거부터 신성하게 여겨져 온 특정 동식물 혹은 자연물을 뜻함. 굿즈에서는 주로 ‘나를 수호하는 마스코트’의 의미로 사용됨.
뮷즈,‘뮤지엄 굿즈’의 줄임말. 박물관에서 판매하는 문화 유산 활용 굿즈를 뜻함.
도달가능미,‘도달할 수 있는 미(美)’를 뜻하는 신조어. 추구하는 미를 뜻하는 ‘추구미’와 반대되는 의미를 갖고 있음.
본업존잘,본업을 잘한다는 의미를 가진 줄임말. 칭찬의 의미로 사용됨.
디토 감성,2000년대를 연상시키는 아날로그 감성의 촬영법. 주로 캠코더로 촬영한 듯한 저화질의 영상을 가리킴.
방탈러,방탈출 게임을 즐기는 플레이어들이 스스로를 부르는 말.
시고르자브종,믹스견을 뜻하는 말. ‘시골 잡종’을 외국어처럼 받침을 길게 늘려 발음한 것.
발레코어,발레복에서 파생된 스타일을 부르는 말. 리본 장식이 대표적인 특징.
신꾸,‘신발 꾸미기’의 줄임말.
농협은행 밈,한 외국인이 ‘농협은행’이 어딘지 물어본 것을 ‘너무 예쁘네’로 잘못 알아들은 편의점 알바생 썰에서 유래한 밈. Z세대 사이에서 ‘농협은행=너무 예쁘다’로 해석되기도 함.
뽀용,뽀얗고 하얗다는 의미의 신조어. 사랑스럽다는 표현으로 쓰이기도 함.
뽀용하다,"[밈] 화사하다, 뽀얗다는 의미의 신조어. 2021년쯤부터 뷰티 유튜버들이 자주 쓰며 퍼진 말. 패션, 뷰티 관련 콘텐츠에 자주 등장하며 10~30대 여성들 사이에서 널리 사용되는 중. (2024년 7월 기준)"
찍먹,"'찍어 먹기'를 줄여 부르는 말로, 어떤 대상에 깊이 몰입하지 않고 가볍게 체험만 해본다는 의미로 씀."
궁예,추측한다는 의미. 드라마 ‘태조 왕건’에서 ‘궁예’가 다른 사람의 마음을 꿰뚫어 보는 관심법을 사용했다는 것에서 유래함.
모루인형,'모루'라는 '털 철사'를 이용해 만드는 10cm 크기의 작은 인형. 키링으로 만들어 가방에 달고 다니는 게 유행 중.
VIB,"Very Important Baby의 줄임말. 중요한 사람이나 귀한 손님을 의미하는 VIP(Very Important Person)를 변형한 신조어로, 매우 소중한 아기를 의미."
골드키즈,왕자나 공주처럼 귀하게 자라는 외동아이
업에이저,"업(up)과 에이저(ager)의 합성어로, 어린 나이에 신체적, 사회적, 심리적, 교육적, 상업적으로 빨리 성숙한다는 의미."
텐포켓,"10개의 돈주머니(ten pocket). 한 명의 아이를 위해 부모, 조부모, 친인척, 주변 지인까지 포함해 10명의 사람들이 주머니에서 돈을 꺼낸다는 의미."
스드메,"스튜디오 촬영, 드레스, 메이크업의 줄임말. 결혼식을 준비하는 과정에서 필요한 세 가지 단계를 부르는 말."
원영적 사고,[밈] 아이돌 그룹 ‘아이브’ 장원영의 긍정적 사고를 뜻함. 장원영이 한 영상에서 빵이 다 팔렸는데 ‘갓 나온 빵을 먹을 수 있게 됐다. 럭키다’라고 말한 것에서 유래. 2024년 3월부터 대유행 중. 각종 ‘OO적 사고’ 패러디가 등장하고 있음. (2024년 5월 기준)
어남자,"[밈] 아이돌 그룹 ‘CIX’ 멤버가 ‘어여자(얼른 자)’라고 하면 팬들이 ‘어남자’라고 답하며 말장난한 것에서 유래. 2023년 말부터, 팬덤 내에서 소소하게 유행 중. (2024년 5월 기준)"
맑눈광,‘맑은 눈의 광인’을 줄인 말. Z세대가 얌전해 보이지만 때때로 광기를 보이는 인물이나 캐릭터를 부르는 별명.
사일로,독립적인 의사결정을 할 수 있는 소규모 애자일 조직
포스타입,창작물을 공유할 수 있는 블로그 플랫폼 서비스.
트위터 예절,"주로 트위터에서 보이는, 맛있는 음식을 먹을 때 포토카드를 들고 사진을 찍어 SNS에 공유하는 Z세대 온라인 문화를 부르는 말"
